Word,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions,ExampleSentence,JmDictWordId,SameSurfaceSupportedAs,SameReadingSupportedAs
当たる,あたる,15,649,0,"to be hit,to strike,to touch,to be in contact,to be affixed,to be equivalent to,to be applicable,to apply to,to be right on the money (of a prediction, criticism, etc.),to be selected (in a lottery, etc.),to win,to be successful,to go well,to be a hit,to face,to confront,to lie (in the direction of),to undertake,to be assigned,to be stricken (by food poisoning, heat, etc.),to be afflicted,to be called on (e.g. by a teacher),to treat (esp. harshly),to lash out at,to be unnecessary,to be hitting well,to be on a hitting streak,to feel a bite (in fishing),(of fruit, etc.) to be bruised,to spoil,to feel (something) out,to probe into,to check (i.e. by comparison),to shave,to be a relative of a person,to be a ... in relation to ...,to stand in a relationship",・９個・１０個・１１個４通常ポケモンの技が急所に**当たる**確率は？,1448810,,
彼女,かのじょ,15,260,1,"she,her,girlfriend",自分謙虚やなぁ**彼女**の名はチリまいど！,1483150,,
怖い,こわい,15,264,2,"scary,frightening,eerie,dreadful",高いところだから**怖かった**んじゃなかったっけ？,1593480,,
方,ほう,15,163,1,"direction,way,side,area (in a particular direction),side (of an argument, etc.),one's part,type,category,field (of study, etc.),indicates one side of a comparison,way,method,manner,means,length (of each side of a square)",それでは最後に一番大事な質問です貴方が一番好きなジムリーダーはどの**方**ですか？,1516930,,
用,よう,15,519,1,"business,task,errand,engagement,use,purpose,for the use of ...,used for ...,made for ...,call of nature,excretion",……**用**は済んだろひとりにさせろよスター団のメロコ会ってほしいポケモンがいる……なんだテメーボウ！,1546200,,
２つ,ふたつ,14,1652,"0,3",two,**２つ**のヨロイから１つをえらんでへんしんしてゲンガーをやっつけて！,1461160,,
あの子,あのこ,14,590,2,"that child,that kid,that boy,that girl,that young lady,you",**あの子**最近入ったんだけどかなり態度悪いんだよね…。,2707760,,
もう一度,もういちど,14,548,,"once more,again",とりあえず**もう一度**ジム行って新しいポケモン鍛えよっかな！,2005860,,
絵,え,14,1686,1,"picture,drawing,painting,sketch,image (TV, film, etc.),picture,footage",タイトル『ストレッチする女』……えもいわれぬ**絵**だ！,1202270,,
奇書,きしょ,14,113291,"1,2",unusual book,**奇書**バイオレットブックに書かれた謎の物体が名前の由来である。,1777980,,
呼ばれる,よばれる,14,1949,0,"to be called out,to be called (a name),to be referred to as,to be invited (to),to be summoned,to be called,to be sent for,to be treated to (a meal, drink, etc.)",絶対零度トリックと**呼ばれる**あの選手がフリッジタウン大会でも見事優勝！,1631030,,
最深部,さいしんぶ,14,21549,,"deepest part,deepest portion,depths (of the ocean etc.),innermost",これから**最深部**ワタシの待つゼロラボを目指してもらうわけだが…。,2632170,,
仕事,しごと,14,207,0,"work,job,labor,labour,business,task,assignment,occupation,employment,work",世の中にはいろんな**仕事**があるんだなあ！,1304970,,
続く,つづく,14,431,0,"to continue,to last,to go on,to continue (without a break),to be unbroken,to occur again and again,to lead to,to connect to,to adjoin,to come after,to follow,to succeed,to rank next to,to hold out,to keep,to last",このまま不登校が**続けば**シュウメイ殿は退学処分なんでしょ…。？,1405790,,
髪型,かみがた,14,6741,0,"hair style,coiffure,hairdo",イカした**髪型**の飛び入りゲスト？,1954390,,
分,ぶん,14,520,1,"part,portion,share,amount,worth (as in ""two days' worth""),enough (for),one's means,one's place,one's lot,one's social position,one's duty,one's part,condition,state (of affairs),extent,rate (as in ""at this rate""),in proportion to,just as much as,to the same degree,content (e.g. alcohol),percentage,equivalent to (e.g. an old brother)",でも強さ１０倍で１０匹**分**ですキョジオーンさんもう少しかくばってくださいないいわー！,1502860,,
聞こえる,きこえる,14,346,0,"to be heard,to be audible,to reach one's ears,to sound (like),to come across (as),to be well known,to be famous,to accept (someone's words),to agree,to understand",,1591150,,
未確認,みかくにん,14,26350,2,"unconfirmed,unidentified",パルデア**未確認**ファイル１０太古の文明が生んだロボット！？,2080310,,
夢,ゆめ,14,334,2,"dream,dream,hope,wish,aspiration,ambition,unrealistic aspiration,daydream,pipe dream,delusion,illusion,fleeting thing,something short-lived",時ハ満ちタ**夢**ノ礎トナリタまエ僕ノ楽園ハ壊セなイ殲滅準備ヲ開始スル…。,1529410,,
３つ,みっつ,13,2760,"3,0","three,three years of age",～シティと呼ばれる町はパルデア地方に**３つ**ある！,1299740,,
お礼,おれい,13,973,0,"thanks,gratitude,manners,etiquette,bow,reward,gift,ceremony,ritual",ちょっと強いの出しすぎちゃったいやー実りあったいい勝負だったね勝負の**お礼**にこれ受けとって！,1270810,,
医務室,いむしつ,13,19782,2,"doctor's office,medical office,sickbay",**医務室**で感性診てもらいなよさっきのアレってさ…。,1160090,,
家族,かぞく,13,537,1,family,つくづくさ変な**家族**だよなーやそんなん…。,1192150,,
気,き,13,245,0,"spirit,mind,heart,nature,disposition,intention,mind,will,motivation,mood,feelings,consciousness,care,attention,consideration,worry,interest,(the) air,atmosphere,ambience,atmosphere (of),air (of),mood,fragrance,aroma,flavour,taste,qi (in traditional Chinese philosophy and medicine),chi,ki",足もと**気**ィつけやちぃと揺れるからなあ！,1221520,,
見つかる,みつかる,13,480,0,"to be found,to be discovered",,1604550,,
才能,さいのう,13,1693,0,"talent,ability",ラッキー飛びこえて**才能**だよ！,1294630,,
使える,つかえる,13,730,0,"to be usable,to be serviceable,to be useful",テラスタルするとしばらく**使えない**からポケモンセンターでチャージしてね！,1607180,,
似る,にる,13,495,0,"to resemble,to look like,to be like,to be alike,to be similar,to take after",メロコも**似た**ようなもんでしょ…。,1314600,,
小さい,ちいさい,13,619,3,"small,little,tiny,slight,below average (in degree, amount, etc.),minor,small,low (e.g. sound),soft (e.g. voice),unimportant,petty,insignificant,trifling,trivial,young,juvenile",大きかったり**小さかったり**でほめてくれる人がこの町にいるみたいよピカチュウのうなじかわいいー！,1347750,,
段階,だんかい,13,2586,0,"stage,step,phase,level,rank,grade,gradation,order,stairs",,1419950,,
答える,こたえる,13,587,"3,2","to answer,to reply",体の部位が**答え**なのですがナッペ山にある三又の崖その名前はナッペの…。？,1449540,,
彼,かれ,13,304,1,"he,him,boyfriend",**彼**が表彰台から放った言葉にライバルたちもやる気がみなぎる！,1483070,,
毎日,まいにち,13,563,"1,0","every day,daily",**毎日**が楽しいよみんないきいきしてる学校行ってみたよ授業受けてきたんだＳＴＣサイコー！,1524720,,
落札,らくさつ,13,37602,0,"successful bid,winning a tender",そちらのお坊ちゃんが**落札しました**！,1548750,,
祠,ほこら,13,28468,0,"hokora,small wayside shrine",はせまい**祠**に閉じこめられているポケモンを外に出してあげたくはないか？,1581260,,
ＰＰ,ピーピー,12,64376,1,"producer's price,PP,polypropylene,PP",ポケモンは戦うことができなくなるそれでは**ＰＰ**がなくなるとポケモンはどうなってしまうのだ？,2827729,,
お疲れ,おつかれ,12,1810,0,"thanks (for coming, helping, etc.),glad you could make it,tiredness,fatigue",お待ちくださいさんのポケモンは少し**お疲れ**のようですよごめーん！,2827267,,
以内,いない,12,3444,1,"within,inside of,less than",分**以内**にオレたちのポケモン匹倒せたらボスがお会いになってくれるかもな！,1155180,,
花,はな,12,1050,2,"flower,blossom,bloom,petal,cherry blossom,beauty,blooming (esp. of cherry blossoms),ikebana,hanafuda,(the) best,glorious,lovely",太陽のような**花**の形をしていていつも微笑んでいる姿が特徴的。,1194500,,
間,あいだ,12,308,0,"space (between),gap,interval,distance,stretch,period of time (during, while),duration,interval,between (two parties or things),among (a group),relations (between),relationship,midpoint,average,halfway,middle ground,due to,because of",がリーグに挑んでる**間**ポケモンの技の組み合わせ全パターン見なおさないと！,1215230,,
計算,けいさん,12,2368,0,"calculation,computation,reckoning,counting,adding up,working out,figures,consideration,calculation,estimation,expectation",２００だと弱点の２倍しかかけ算されてないみたい頭の中で**計算**さすがね！,1252140,,
国,くに,12,868,0,"country,state,region,national government,central government,home (i.e. hometown, home country),province (of Japan),land,earth",ぶっちゃけその**国**の言葉はこんにちはおいしいありがとう３つ言えればなんとかなるし！,1592250,,
子供たち,こどもたち,12,2929,3,"children,kids",ハロー**子供たち**ようわ博士かビックリしたすまないここってなんで壊れてんですかー！？,1307870,,
視察,しさつ,12,10165,0,"inspection,observation",トップから頼まれてうちの**視察**に来たって！？,1312040,,
試験,しけん,12,3327,2,"examination,exam,test,trial,experiment,test",気持ち切り替えて次の**試験**や二次試験は四天王とのポケモン勝負…。,1312350,,
集まる,あつまる,12,699,3,"to gather,to collect,to assemble",,1333550,,
送る,おくる,12,372,0,"to send,to dispatch,to forward,to transmit,to ship,to remit,to see (someone) off,to escort,to accompany,to take,to bid farewell to (the departed),to say goodbye to,to bury,to spend (time),to pass,to lead (a life),to live,to pass (on, along),to advance (a runner),to affix (okurigana)",,1402730,,
誰も,だれも,12,332,"0,1","everyone,anyone,no one,nobody",ポケモントレーナーなら**誰も**があこがれる人なんだー！,1416860,,
当,とう,12,5844,1,"this,our,the ... in question,the said ...,right,justice,fairness,checking account",殿堂バッジ記録**当**アカデミーでは素晴らしい功績をあげた生徒に殿堂バッジを贈呈しています。,2081170,,
動画,どうが,12,4051,0,"video (esp. digital),video clip,clip,animation,animated cartoon,in-betweens (animation)",いくつかの言葉を合体させたおはこんハロチャオって挨拶する**動画**配信者もいるんだって！,1451290,,
得る,える,12,884,1,"to get,to earn,to acquire,to procure,to gain,to secure,to attain,to obtain,to win,to understand,to comprehend,to receive something undesirable (e.g. a punishment),to get (ill),to be able to ..., can ...",そちらはニトロチャージから着想を**得た**でござる…。,1588760,,
買いもの,かいもの,12,46724,0,"shopping,purchased goods",今日はわたしが大好きなお**買いもの**をテーマに数字をお勉強していきましょう！,1589730,,
不正解,ふせいかい,12,19112,,"incorrect answer,wrong solution,incorrect interpretation",なかなかどうして小賢しい授業をしっかり聞いているようだ……**不正解**！,2563650,,
味,あじ,12,1013,0,"flavor,flavour,taste,charm,appeal,uniqueness,attractiveness,experience,taste (e.g. of victory),smart,clever,witty,strange,aji,position that has some lingering potential that may be exploited later in the game",お店で手作りプロの**味**！,1526960,,
８つ,やっつ,11,26384,"2,1","eight,eight years of age,two o'clock (old time system)",ジムバッジを**８つ**集めたらぜひポケモンリーグの扉を叩いてください。,1583095,,
引退,いんたい,11,4913,0,retirement,,1169610,,
開ける,あける,11,435,0,"to open (a door, etc.),to unwrap (e.g. parcel, package),to unlock,to open (for business, etc.),to empty,to remove,to make space,to make room,to move out,to clear out,to be away from (e.g. one's house),to leave (temporarily),to dawn,to grow light,to end (of a period, season),to begin (of the New Year),to leave (one's schedule) open,to make time (for),to make (a hole),to open up (a hole)",……ひとの家の冷蔵庫を勝手に**開ける**のはやめておこう！,1202450,,
完成,かんせい,11,1416,0,"completion,perfection,accomplishment",わたしの質問に図鑑の**完成**を目指すって言ってくれたよね！,1211490,,
感じ,かんじ,11,356,0,"feeling,sense,impression",……言うと思ったたまに不謹慎なとこあるネモの親ってさどんな**感じ**？,1212250,,
気づく,きづく,11,869,2,"to notice,to realize,to realise,to become aware (of),to perceive,to sense,to suspect,to regain consciousness,to come to (one's senses),to come round",そんな折ハッさんと出会い小さな自分に**気づかされたり**まあいろいろふっきれたのだ！,1591330,,
記憶,きおく,11,856,0,"memory,recollection,remembrance,memory,storage",……あなたの**記憶**をたよりにスマホカバーを作ってあげましょうわっせわっせ！,1223150,,
筋肉,きんにく,11,3383,1,muscle,**筋肉**たくましいかくとうタイプだな！,1241810,,
緊張,きんちょう,11,1042,0,"tension,strain,nervousness,stress,tensions (between countries, groups, etc.),tonus,muscle tone",テスト本番よりテスト結果を聞くときのほうが**緊張する**…。,1241880,,
今から,いまから,11,1107,,"from now,from this moment,henceforth",そのときの気持ちになって**今から**イメージトレーニング！,2663180,,
諸君,しょくん,11,4866,1,"you (people),gentlemen,ladies and gentlemen,my friends,everyone",**諸君**らが服装以外でよくアレンジしているかわいいアレはいったいどうやるのかね？,1344230,,
信頼,しんらい,11,1696,0,"trust (in),confidence,faith,reliance",あんたたちがそこまで**信頼してる**マジボスってのは一体誰なんだ？,1359730,,
心,こころ,11,277,"2,3","mind,heart,spirit,the meaning of a phrase (riddle, etc.)",坂道が思ってたよりキツくてへとへとこんなときは食事して**心**も体もリフレッシュ！,1360480,,
深い,ふかい,11,698,2,"deep,profound,dense,thick,close (relationship),intense,strong,late",上に行きたければ昇降機の前で待っとればええぞいここから先は**深く**なってるよ！,1362640,,
人生,じんせい,11,585,1,(one's) life,**人生**になくていいものですがあったほうがより楽しいもの！,1368370,,
多く,おおく,11,1188,1,"many,much,plenty,a lot,majority (of),greater part (of),mostly,mainly,chiefly,usually,often",正体に関しては**多く**の説があるが超古代文明の産物という説が有力。,1861770,,
体験,たいけん,11,2523,0,"(practical) experience,personal experience,hands-on experience,first-hand experience",誰でもいいんだけどさオレが負けるとかないしフェアリータイプのかわいくないとこじっくり**体験していけば**いいんだ！,1409420,,
同士,どうし,11,1215,1,"fellow,mutual,companion,comrade",もうライバル**同士**だもん心置きなく勝負できる！,1452400,,
入札,にゅうさつ,11,38186,0,"bid,tender,bidding",自分の持ち金と相談してより高い値段を**入札した**者が商品を買うことができるんだい！,1466180,,
発見,はっけん,11,1157,0,"discovery,detection,finding",だが過去にウルガモスの化石が**発見された**記録は存在していない。,1477310,,
補給,ほきゅう,11,7770,0,"supply,supplying,replenishment",運動して３０分以内に栄養を**補給する**と筋肉がつきやすいぞ！,1514510,,
命中,めいちゅう,11,9087,0,"(direct) hit,hitting the mark",**命中**で話題にあがるのはなみのりとハイドロポンプかしら？,1532090,,
優秀,ゆうしゅう,11,1729,0,"superior,excellent,brilliant,outstanding",ネモさんは生徒会長でチャンピオンで成績**優秀**！,1539230,,
優勝,ゆうしょう,11,4299,0,"overall victory,championship,winning the title,(being in) heaven,bliss,perfect contentment",絶対零度トリックと呼ばれるあの選手がフリッジタウン大会でも見事**優勝**！,1539280,,
誘う,さそう,11,835,3,"to invite,to ask (someone to do),to call (for),to take (someone) along,to tempt,to lure,to entice,to seduce,to induce (tears, laughter, sleepiness, etc.),to arouse (e.g. sympathy),to provoke",みんなで団を作ろうって**誘ってくれた**マジボスって人そのマジボスは今どこに？,1541900,,
遊ぶ,あそぶ,11,543,0,"to play (games, sports),to enjoy oneself,to have a good time,to mess about (with alcohol, gambling, philandery, etc.),to be idle,to do nothing,to be unused,to meet up (with friends),to hang out,to give oneself up (to gambling, drinking, etc.),to go to (for pleasure or for study),to tease (someone),to play (with),to intentionally throw a ball to lower the batter's concentration",,1542160,,
竜,りゅう,11,6168,0,"dragon (esp. a Chinese dragon),naga,semi-divine human-cobra chimera in Hindu and Buddhist mythology,promoted rook",実技テスト最後の砦を守る**竜**ハッサク猛然たる勝負の息吹を身をもって教えてあげましょう！,1629170,,
１つ,ひとつ,10,1121,2,"one,for one thing,only,(not) even,just (e.g. ""just try it""),some kind of,one type of",２つのヨロイから**１つ**をえらんでへんしんしてゲンガーをやっつけて！,1160820,,
４人,よにん,10,2764,"4,0",four people,・３人・**４人**・８人３人４人８人４相手のテラスタルシールドを破るのに有効な行動は？,1985310,,
ＯＫ,オーケー,10,2900,"1,2,3","OK,okay,fine (without),not needed,unnecessary,all right",スター団にケンカ売るなんてキミってマジ命知らずだよさわりは**ＯＫ**！,1031600,,
お菓子,おかし,10,2549,2,"confections,sweets,candy,cake",茶色でゴツゴツした見た目でまるでいわのような**お菓子**です。,1001710,,
ご存知,ごぞんじ,10,8053,2,"knowing,being aware (of),(an) acquaintance",リボンやあかしがついているポケモンにできることを**ご存知**ですか？,1593570,,
やる気,やるき,10,1734,0,"will (to do something),drive,motivation,enthusiasm,eagerness",彼が表彰台から放った言葉にライバルたちも**やる気**がみなぎる！,2005890,,
下,した,10,442,"1,0","below,down,under,younger (e.g. daughter),bottom,beneath,underneath,just after,right after,inferiority,one's inferior (i.e. one's junior),trade-in,preliminary,preparatory",**下**に着いたら連絡する無事を祈っているよ……強引なヤツエリアゼロのポケモン楽しみ！,1184140,,
壊れる,こわれる,10,1219,3,"to be broken,to break,to fall apart,to collapse,to be destroyed,to be damaged,to break (down),to stop working,to fall through (of a plan, deal, etc.),to collapse,to break down (of a relationship, negotiations, etc.),to be broken off,to be ruined (of an atmosphere, one's image, etc.)",ところがダイオウドウが暴れてしまいなんと壁画が**壊れてしまった**んです！,1199900,,
楽園,らくえん,10,9563,0,"paradise,Eden",時ハ満ちタ夢ノ礎トナリタまエ僕ノ**楽園**ハ壊セなイ殲滅準備ヲ開始スル…。,1207290,,
活躍,かつやく,10,2398,0,"activity (esp. energetic or successful),great efforts,active participation,walking about with great vigor",ピリッとホットに**活躍してくれ**！,1208450,,
興味深い,きょうみぶかい,10,3957,5,"very interesting,of great interest",**興味深イ**未来ノポケモンソノ弱点ヲ理解シテイルノカ？,1238420,,
現れる,あらわれる,10,671,4,"to appear,to come in sight,to become visible,to come out,to embody,to materialize,to materialise,to be expressed (e.g. emotions),to become apparent (e.g. trends, effects)",,1263510,,
光る,ひかる,10,2062,2,"to shine,to glitter,to be bright",**光って**テラスタルオーブ！,1272820,,
合格者,ごうかくしゃ,10,32946,"4,3","successful candidate,successful applicant,person who has passed an exam",ここではジム**合格者**も引き続き喜怒驚楽エクササイズを楽しめるぞ！,1284620,,
財宝,ざいほう,10,17897,0,treasure,興味深い答えだが本当にあったらオーパーツものだ正解は**財宝**だよそう！,1296990,,
坂,さか,10,7323,"2,1","slope,incline,hill,milestone,(age) mark",町の中は**坂**とか階段多いからひと休みして追いかけるね！,1297110,,
若い,わかい,10,574,2,"young,youthful,immature,green,low (number),small",,1324300,,
授業を受ける,じゅぎょうをうける,10,12395,,to take a class,さん校長室にようこそたまには学校に戻って**授業を受ける**のもいいですよね授業といえば…。,1330300,,
助かる,たすかる,10,533,3,"to be saved,to be rescued,to survive,to escape harm,to be spared damage,to be helped,to be saved trouble",ちょっと何言ってるかわかんないけど**助かる**ぜ！,1344380,,
状況,じょうきょう,10,551,0,"state of affairs,situation,conditions,circumstances",今はとにかくこの**状況**を解決しないと！,1356700,,
親愛,しんあい,10,12962,0,"deep affection,dear,beloved",**親愛**なるオヌシたち！,1365090,,
正直,しょうじき,10,624,"3,4","honest,frank,candid,straightforward,honestly,frankly",**正直**すぎてちょっとビックリ指名手配中のヤツほど違うって言うからね…。！,1377590,,
生きる,いきる,10,216,2,"to live,to exist,to make a living,to subsist,to be in effect,to be in use,to function,to come to life,to be enlivened,to be safe (in baseball, go, etc.)",,1378520,,
全員,ぜんいん,10,591,0,"all members,all hands,everyone,everybody,whole crew",来たねチャンピオン同士のポケモン勝負噂を聞きつけてみんなも集まってきたみたいここにいる**全員**！,1394840,,
体,たい,10,1681,1,"body,physique,posture,shape,form,style,substance,identity,reality,field,counter for humanoid forms (e.g. dolls, statues, corpses, etc.),typeface,type",大きなパイプがひしゃげた状態で横たわっている結晶**体**がユニットを浸食している…。？,1409150,,
隊,たい,10,4433,1,"party,group,crew,team,body,company (of troops),corps,unit,squad",エリアゼロ冒険団エリアゼロ観測**隊**エリアゼロ調査隊……不正解！,1956610,,
代わり,かわり,10,820,0,"substitute,replacement,substituting,replacing,stand-in,proxy,alternate,deputy,relief,successor,compensation,exchange,return,another helping,second helping,seconds,refill,upcoming program,upcoming programme",ちょっと手続きが必要だから**代わり**にやってくるね！,1590770,,
大,だい,10,795,1,"large,big,great,huge,vast,major,important,serious,severe,great,prominent,eminent,distinguished,-sized,as big as,the size of,university,large (e.g. serving size),large option,long month (i.e. having 31 days)",難易度の高すぎる**大**探索は大穴のその神秘性を高めるのにさぞや貢献しただろうなああ…。！,2082450,,
団員,だんいん,10,23911,0,group member,ゲート前で戦った**団員**だ話をしたくて来てもらった……話っていうのは？,1419180,,
同胞,どうほう,10,11810,"0,2","brethren,brothers,fellow countrymen,fellowman,compatriot",シュウメイ殿にはスター団以外にもぼくっていう**同胞**がいるんだって！,1582360,,
特訓,とっくん,10,6311,0,"special training,intensive training,crash course",手を抜いたら**特訓**にならないし！,1454850,,
突然,とつぜん,10,608,0,"abrupt,sudden,unexpected",**突然**ですがセイジの！,1457040,,
悩む,なやむ,10,1102,2,"to be worried,to be troubled",……とりあえず店に入って**悩む**かな冷え性にはぶあつい靴下がいいの！,1469870,,
半分,はんぶん,10,1082,"3,0",half,**半分**になる変わらない２倍になるあら逆転の発想ね！,1479890,,
彼ら,かれら,10,965,1,"they,them",それは大ニュースですよ今も**彼ら**はいますか？,1483090,,
悲しい,かなしい,10,1005,"0,3","sad,miserable,unhappy,sorrowful,sad,lamentable,deplorable,grievous",お返事ないとサッドネスワシ**悲しく**なってしまうね前のレッスンではいろんな国の『おいしい』を教えたよね！,1483190,,
分秒,ふんびょう,10,124066,0,moment,我のほうが学ばせてもらったかいやはやお疲れさまでスターでござる今回殿が匹打倒に費やした時間は**分秒**！,1504150,,
保健,ほけん,10,19613,0,"preservation of health,hygiene,sanitation,health education (school subject)",そんときはビシバシ**保健**教えてあげるよ！,1513410,,
暮らす,くらす,10,758,0,"to live (on, by, etc.),to lead a life,to get along,to get by,to make a living,to earn a livelihood,to spend one's time (doing),to pass one's days (doing),to live,to get on (doing),to do daily,to do all day long,to continue doing",しばらく博士ともう１匹とエリアゼロで**暮らしてた**んだよね？,1514940,,
名物,めいぶつ,10,8195,1,"famous product,special product,speciality,specialty",ケツに火がついちまったさすがにやるじゃねえかアカデミー**名物**地獄の階段！,1531810,,
理解,りかい,10,707,1,"understanding,comprehension,appreciation,sympathy",興味深イ未来ノポケモンソノ弱点ヲ**理解**シテイルノカ？,1549910,,
